Date,Open,High,Low,Close,Adj Close,Volume
2022-09-14,148.050003,148.250000,146.449997,147.570007,146.001709,1025500
2022-09-15,147.360001,148.149994,145.869995,146.309998,144.755081,969200
2022-09-16,145.139999,145.839996,144.580002,145.679993,144.131775,1296600
2022-09-19,143.899994,146.039993,143.889999,145.990005,145.150894,1069100
2022-09-20,144.850006,144.990005,143.110001,144.210007,143.381119,1887200
2022-09-21,144.979996,145.929993,142.009995,142.020004,141.203705,1564500
2022-09-22,141.979996,141.979996,140.630005,140.869995,140.060318,2550000
2022-09-23,139.669998,139.990005,137.449997,139.050003,138.250778,3250000
2022-09-26,138.520004,139.429993,137.179993,137.820007,137.027847,1852300
2022-09-27,138.979996,139.610001,136.050003,136.869995,136.083298,2708600
2022-09-28,137.399994,139.910004,136.839996,139.210007,138.409866,2111600
2022-09-29,138.270004,138.500000,136.070007,137.100006,136.311996,2098500
2022-09-30,136.970001,138.020004,135.050003,135.160004,134.383133,1983800
2022-10-03,136.389999,139.300003,136.020004,138.589996,137.793411,2977000
2022-10-04,140.410004,142.320007,140.130005,142.270004,141.452271,2063000
2022-10-05,140.979996,142.960007,140.330002,142.059998,141.243469,1397300
2022-10-06,141.630005,142.259995,139.970001,140.220001,139.414047,1438700
2022-10-07,139.139999,139.139999,136.330002,137.089996,136.302032,1773200
2022-10-10,137.389999,137.660004,135.389999,136.350006,135.566299,1779100
2022-10-11,135.729996,137.539993,135.270004,135.949997,135.168594,1611900
2022-10-12,136.289993,136.830002,135.279999,135.320007,134.542221,1446600
2022-10-13,133.330002,139.380005,132.639999,138.699997,137.902786,2015800
2022-10-14,139.800003,140.520004,136.050003,136.279999,135.496704,1890300
2022-10-17,138.259995,139.679993,138.080002,139.289993,138.489395,1787600
2022-10-18,141.889999,142.229996,139.830002,141.020004,140.209457,1571400
2022-10-19,140.169998,140.869995,138.660004,139.800003,138.996475,1174200
2022-10-20,139.740005,140.830002,137.820007,138.179993,137.385773,1507300
2022-10-21,138.100006,141.800003,137.800003,141.539993,140.726456,2011800
2022-10-24,142.440002,143.899994,141.960007,143.440002,142.615555,2208600
2022-10-25,143.380005,145.380005,143.110001,145.229996,144.395248,2342100
2022-10-26,145.210007,147.130005,145.000000,145.770004,144.932159,1375800
2022-10-27,146.389999,147.460007,145.750000,145.970001,145.130997,2132200
2022-10-28,146.199997,149.580002,146.050003,149.350006,148.491577,2446700
2022-10-31,148.699997,149.449997,148.229996,148.619995,147.765762,2544100
2022-11-01,149.559998,149.740005,147.500000,148.300003,147.447617,1770700
2022-11-02,147.880005,149.910004,145.300003,145.330002,144.494690,1730500
2022-11-03,143.869995,145.169998,143.160004,144.250000,143.420883,1981700
2022-11-04,146.250000,147.339996,144.339996,146.419998,145.578415,1643500
2022-11-07,147.119995,148.309998,146.330002,148.080002,147.228882,2528800
2022-11-08,148.529999,150.059998,147.490005,148.990005,148.133652,1269200
2022-11-09,148.050003,149.009995,146.589996,146.750000,145.906525,1228700
2022-11-10,151.240005,153.539993,150.600006,153.309998,152.428818,1939100
2022-11-11,153.380005,153.699997,152.089996,153.279999,152.398987,1611800
2022-11-14,152.809998,154.160004,152.139999,152.199997,151.325195,2398300
2022-11-15,153.949997,154.500000,151.789993,153.110001,152.229965,2005800
2022-11-16,152.720001,153.479996,152.649994,152.869995,151.991333,1554200
2022-11-17,151.529999,152.610001,151.119995,152.610001,151.732834,1799000
2022-11-18,153.850006,154.229996,152.869995,153.910004,153.025375,1493900
2022-11-21,153.610001,154.449997,153.610001,154.080002,153.194397,2314100
